20년 만	NNG
20년간	NNG
20년만	NNG
20년전	NNG
20년째	NNG
20만	NNG
20여년	NNG
20일 간	NNG
20일 만	NNG
20일에서 22일	NNG
21년	NNG
21일째	NNG
22∼24일	NNG
22년	NNG
22년 만	NNG
22년만	NNG
22일	NNG
22일 만	NNG
22일째	NNG
23년	NNG
23년 만	NNG
23일간	NNG
24∼25일	NNG
24∼29일	NNG
24년 동안	NNG
24년 만	NNG
24일 동안	NNG
24일부터 다음 달 2일까지	NNG
24일치	NNG
25∼28일	NNG
25년	NNG
25년동안	NNG
25년만	NNG
26~27일	NNG
26년	NNG
27년만	NNG
29∼30일	NNG
29년만	NNG
29일만	NNG
2개월	NNG
2개월 동안	NNG
2개월간	NNG
2년	NNG
2년 동안	NNG
2년 만	NNG
2년 이상	NNG
2년 이하	NNG
2년∼2년2월	NNG
2년간	NNG
2년동안	NNG
2년만	NNG
2년새	NNG
2년여 동안	NNG
2년여 만	NNG
2년제	NNG
2년째	NNG
2달 동안	NNG
2박3일	NNG
2박3일까지	NNG
2분기	NNG
2일	NNG
2일 정도	NNG
2주	NNG
2주 이상	NNG
2주간	NNG
2주간 정도	NNG
2주만	NNG
2학기	NNG
3~4주	NNG
30년	NNG
30년 이상	NNG
30년가량	NNG
30년간	NNG
30년동안	NNG
30년만	NNG
30일	NNG
30일 이내	NNG
32개월째	NNG
32년 만	NNG
33년	NNG
34일째	NNG
36년 만	NNG
36주 이후	NNG
37∼39주	NNG
37년간	NNG
38일째	NNG
39년	NNG
3개년	NNG
3개월	NNG
3개월 동안	NNG
3개월 만	NNG
3개월 이상	NNG
3개월간	NNG
3개월동안	NNG
3개월여만	NNG
3개월째	NNG
3년	NNG
3년 6월	NNG
3년 가량	NNG
3년 동안	NNG
3년 만	NNG
3년 이내	NNG
3년 이상	NNG
3년 이하	NNG
3년간	NNG
3년만	NNG
3년여간	NNG
3년째	NNG
3년치	NNG
3달짜리	NNG
3분기	NNG
3월	NNG
3월부터 이달 초까지	NNG
3일	NNG
3일 간	NNG
3일간	NNG
3일동안	NNG
3일만	NNG
3일이내	NNG
3일째	NNG
3주	NNG
3천년	NNG
3학년떄	NNG
4~5개월 만	NNG
4∼8개월	NNG
400년간	NNG
40개월	NNG
40년간	NNG
45년째	NNG
45일 간	NNG
46일	NNG
46일간	NNG
4개월	NNG
4개월 만	NNG
4개월 이내	NNG
4개월 째	NNG
4개월여	NNG
4년	NNG
4년 만	NNG
4년 정도	NNG
4년간	NNG
4년만	NNG
4년제	NNG
4년째	NNG
4박 5일 동안	NNG
4박5일	NNG
4월 16일부터 현재	NNG
4월 1일부터 3일까지	NNG
4일	NNG
4일 동안	NNG
4일 만	NNG
4일 전부터 당일까지	NNG
4일간	NNG
4일만	NNG
4주	NNG
4주간	NNG
4주만	NNG
5∼6월	NNG
50 년	NNG
50년	NNG
51일	NNG
52년 만	NNG
53일 간	NNG
55년 만	NNG
5개월	NNG
5개월 만	NNG
5개월간	NNG
5개월째	NNG
5년	NNG
5년 6개월여 만	NNG
5년 간	NNG
5년 만	NNG
5년 이내	NNG
5년 이상	NNG
5년간	NNG
5년동안	NNG
5년여만	NNG
5시즌	NNG
5월 1∼11일	NNG
5월 17일부터 19일까지	NNG
5일	NNG
5일간	NNG
5일만	NNG
5주	NNG
6∼8월	NNG
60~70년대	NNG
60~70년도	NNG
65년 만	NNG
69일 만	NNG
6개월	NNG
6개월 가량	NNG
6개월 간	NNG
6개월 동안	NNG
6개월 이상	NNG
6개월 이하	NNG
6개월간	NNG
6개월안	NNG
6개월여 만	NNG
6년	NNG
6년 만	NNG
6년~17년 6월	NNG
6년간	NNG
6년만	NNG
6월	NNG
6일 만	NNG
6일만	NNG
6일부터 18일까지	NNG
6주	NNG
6주간	NNG
7~80년대	NNG
7∼9월	NNG
70-80년대	NNG
70~80년대	NNG
70년	NNG
70년 만	NNG
757일간	NNG
76년	NNG
76일 만	NNG
7개월	NNG
7개월 만	NNG
7개월만	NNG
7년	NNG
7년 동안	NNG
7년 만	NNG
7년가량	NNG
7년간	NNG
7년만	NNG
7년사이	NNG
7박 10일	NNG
7일	NNG
7일 이내	NNG
7일간	NNG
7일만	NNG
7일부터 9일까지	NNG
7회말	NNG
80-90년대	NNG
80년∼90년대	NNG
8개월	NNG
8개월 만	NNG
8개월여	NNG
8년	NNG
8년 만	NNG
8년 째	NNG
8월	NNG
8월 27일부터 30일까지	NNG
8월26일∼9월4일	NNG
8일만	NNG
8주	NNG
9~12년	NNG
90년	NNG
90일 동안	NNG
90일간	NNG
99년	NNG
9개월	NNG
9개월간	NNG
9년	NNG
9년 이상	NNG
9년만	NNG
9년여 동안	NNG
9박10일	NNG
9억 년	NNG
9일	NNG
9일만	NNG
9일부터 12일까지	NNG
가윗날	NNG
가을	NNG
가을밤	NNG
가을봄	NNG
가을철	NNG
간밤	NNG
개동	NNG
개월	NNG
개추	NNG
개화기	NNG
겁	NNG
겨울	NNG
겨울날	NNG
겨울밤	NNG
겨울철	NNG
경각	NNG
경칩	NNG
계동	NNG
고교 3년 동안	NNG
고금	NNG
고등학교 시절	NNG
고등학교 재학시절	NNG
고등학교시절	NNG
고등학생 시절	NNG
고려시대	NNG
고입시 떄	NNG
과거	NNG
구년	NNG
구십년	NNG
구한말	NNG
국경일	NNG
군사정권 시절	NNG
그날	NNG
그믐께	NNG
그믐날	NNG
그믐밤	NNG
그저께	NNG
그해	NNG
근 5년 만	NNG
근 5년 안	NNG
근대	NNG
근현대	NNG
금년	NNG
금명간	NNG
금요일	NNG
금월	NNG
금일	NNG
꼭두새벽	NNG
끼니	NNG
끼니때	NNG
나날	NNG
나절	NNG
나흗날	NNG
나흘	NNG
나흘 동안	NNG
나흘간	NNG
나흘만	NNG
나흘째	NNG
낮	NNG
내년	NNG
내년 1월 21일부터 31일까지	NNG
내일	NNG
냉전 후	NNG
냉전시대	NNG
넉 달	NNG
년	NNG
년생	NNG
늦가을	NNG
늦겨울	NNG
늦봄	NNG
늦여름	NNG
다섯 달만	NNG
다음 달 10일부터 21일까지	NNG
다음 달 2일부터 4일까지	NNG
다음 달 4∼11일	NNG
다음날	NNG
다음날 오전부터 28일 오후까지	NNG
다음날까지	NNG
단오	NNG
달포	NNG
닷새	NNG
닷새 만	NNG
닷새간	NNG
당시	NNG
당일	NNG
동년	NNG
동시	NNG
동월	NNG
동지섣달	NNG
동짓날	NNG
동짓달	NNG
두 달 만	NNG
두 달간	NNG
두 달만	NNG
두 달여간	NNG
두주	NNG
라마단	NNG
르네상스	NNG
만년	NNG
말기	NNG
망간	NNG
매년	NNG
매달	NNG
매야	NNG
매일	NNG
매주	NNG
명년	NNG
목요일	NNG
미래	NNG
반공일	NNG
반년	NNG
반세기	NNG
반세기 동안	NNG
밤중	NNG
방학중	NNG
백년	NNG
백주	NNG
베이비붐 세대(1955∼1963)	NNG
보능동안	NNG
보름	NNG
보름날	NNG
봄	NNG
봄가을	NNG
봄철	NNG
사계절	NNG
사날	NNG
사년	NNG
사시사철	NNG
사십년	NNG
사이	NNG
사흗날	NNG
사흘	NNG
사흘 동안	NNG
사흘 만	NNG
사흘간	NNG
사흘째	NNG
삼년	NNG
삼사일	NNG
삼십년	NNG
삼짇날	NNG
삼칠일	NNG
상반기	NNG
새벽녘	NNG
섣달	NNG
설 연휴	NNG
설날	NNG
세기	NNG
세대	NNG
소한	NNG
수릿날	NNG
수요일	NNG
수천년	NNG
시졀	NNG
신새벽	NNG
십년	NNG
십수년간	NNG
십여년	NNG
십오년	NNG
아침	NNG
아침결	NNG
아침나절	NNG
아침녘	NNG
아침저녁	NNG
아침참	NNG
아흐레	NNG
아흐렛날	NNG
애저녁	NNG
야경	NNG
야반	NNG
약 10개월	NNG
약 10년	NNG
약 12개월	NNG
약 13개월만	NNG
약 1개월 간	NNG
약 1개월밖에	NNG
약 1년 8개월	NNG
약 1년 간	NNG
약 1년만	NNG
약 2년 만	NNG
약 2주간	NNG
약 3년 동안	NNG
약 3년 만	NNG
약 3주간	NNG
약 5개월 만	NNG
약 88일	NNG
약 두달 만	NNG
약 보름간	NNG
약 열흘	NNG
약 한 달 만	NNG
약 한 달간	NNG
약 한 달여 만	NNG
어느적	NNG
어둑새벽	NNG
어스름	NNG
어저께	NNG
어제	NNG
어제부터 내일(18일)까지	NNG
어젯밤	NNG
엊그저께	NNG
엊그제	NNG
엊저녁	NNG
여드레	NNG
여드렛날	NNG
여름	NNG
여름날	NNG
여름밤	NNG
여름방학	NNG
여름철	NNG
연간	NNG
연말	NNG
연말연시	NNG
연초	NNG
열흘	NNG
열흘만	NNG
열흘째	NNG
엿새	NNG
엿새 만	NNG
엿샛날	NNG
예니레	NNG
오년	NNG
오뉴월	NNG
오는 10일부터 내달 1일까지	NNG
오는 17일부터 11월 9일까지	NNG
오는 24일부터 26일까지	NNG
오는 25~26일	NNG
오는 31일까지	NNG
오는 3월 25일부터 30일까지	NNG
